name,code
Warszawa,A7K3QX
Krakow,M2Z8LP
Lodz,R9T4VN
Wroclaw,H6Y1CB
Poznan,Q4N7WD
Gdansk,X8P2KF
Szczecin,L3V9RM
Bydgoszcz,C7J5TA
Lublin,N1W8GH
Katowice,T6R4PX
Bialystok,K9F2MD
Gdynia,P5L7QZ
Domatowo,W9R3KC
Czestochowa,V2H8SN
Radom,D4X6KC
Torun,J7M3WB
Sosnowiec,F8Q1RL
Kielce,W3T9NP
Rzeszow,B6K4YH
Gliwice,Y1V7DM
Zabrze,G5P8TX
Olsztyn,N8C2QW
Bielsko-Biala,R4H9LF
Bytom,M7X3KP
Zielona Gora,T2W6VN
Rybnik,Q9D4JC
Opole,H3K7YM
Tychy,P8N1XR
Gorzow Wielkopolski,L6F5QB
Elblag,X1T9WD
Plock,C4V8MK
Walbrzych,K7R2HP
Wloclawek,D9Y6TN
Tarnow,J2Q5LB
Chorzow,F3M8XW
Koszalin,V7K1RC
Kalisz,B4P9HZ
Legnica,N6T3QF
Grudziadz,R1W7XD
Slupsk,Y8L2KM
Jaworzno,G4H6VP
Jastrzebie-Zdroj,P7C9TN
Nowy Sacz,T1K5QW
Konin,M8V4RB
Piotrkow Trybunalski,X3N7LD
Inowroclaw,C6F1YP
Siedlce,K2T8MH
Pila,D7Q4VX
Skolwin,H1P6ZQ
Przemysl,L8Y2FN
Ostroleka,Q5M7TW